Fabricante;Modelo;Ano;Problema;Causa;Solucao;Orcamento;Categoria do Problema;Gravidade do Problema;Tempo Estimado de Reparo
Kia;Sierra;2015;Bateria no est sendo carregada pelo alternador.;Tubo de escape com vazamento  sensor de oxignio com defeito.;Conjunto do monitor de integridade do sistema evaporativo (ESIM) substitudo/reparado/conectado  Tampa do bocal de abastecimento de combustvel substituda/apertada/reparada;470;Suspensão;Média;1 dia
Chrysler;Santa Fe;2021;Luz de advertncia de lembrete de manuteno/Procedimento de reinicializao.;Desgaste nas pastilhas de freio;Troca da bomba da direo;1080;Elétrico;Média;2 dias
Ford;F-150;2021;Sem aquecimento;Compressor de ar condicionado (A/C);Bobina(s) de ignio substituda(s)/reparada(s)  Bobina(s) de ignio substituda(s) e vela(s) de ignio substituda(s)/reaprendida(s);1351;Freios;Média;4 horas
Hyundai;Altima;2019;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;Sensor de oxignio com defeito;Substituição do solenóide/válvula de ventilação do canister de emissões evaporativas (EVAP)  Substituição da válvula de controle de purga do canister  Substituição da bomba de combustível;1743;Sistema de Escape;Média;1 dia
Toyota;A4;2019;O motor est funcionando com pouca potncia.;Roda dentada do eixo de comando de escape  Vlvula solenide de controle de temporizao da vlvula de escape  Corrente de distribuio;Bobina(s) de ignição substituída(s)/reparada(s)  Bobina(s) de ignição substituída(s) e vela(s) de ignição substituída(s)/reaprendida(s);2050;Motor;Média;1 dia
Buick;A4;2018;Luz do motor acesa;Bobina de ignio com falha;Troca dos amortecedores;1834;Sistema de Escape;Crítica;1 dia
Jaguar;XC60;2018;Superaquecimento do motor;Falha no conversor de torque;Substituio do compressor de ar;885;Motor;Média;1 semana
Volkswagen;Altima;2018;Cmbio travado;Compressor de ar defeituoso;Reparo na transmisso;396;Motor;Alta;1 semana
Chrysler;XJ 3.0;2015;Tremores do motor;Amortecedores desgastados;Turbocompressor substitudo/reparado  Clipe da alavanca de controle da vlvula de descarga substitudo/reparado/apertado;1520;Sistema de Escape;Média;4 horas
Cadillac;Focus;2015;Luz de advertncia de lembrete de manuteno/Procedimento de reinicializao.;Motor do atuador da porta de mistura  Eixo da porta de mistura  Fluxo do lquido de arrefecimento  Termostato do lquido de arrefecimento do motor  Ncleo do aquecedor  Cabea de controle do ar condicionado de ventilao do aquecedor (HVAC);Unidade de estgio final de controle do soprador substituda/reparada  bateria substituda/recarregada/programada;1830;Sistema de Escape;Crítica;4 horas
Toyota;F-150;2010; necessrio redefinir o ciclo de conduo do monitor DTC;Sistema de admisso de ar restrito  Sistema de exausto restrito  Turbocompressor com falha;Alternador substitudo/reparado  Fiao do alternador reparada/substituda/trocada  Caixa de fusveis auxiliar da bateria substituda/reparada/apertada;1389;Motor;Crítica;1 dia
Jeep;C-Class;2016;Tremores do motor;Bateria com baixa carga;Bobina(s) de ignio substituda(s)/reparada(s)  Bobina(s) de ignio substituda(s) e vela(s) de ignio substituda(s)/reaprendida(s);470;Sistema de Arrefecimento;Média;1 dia
Volkswagen;Ram 1500;2017;Sem partida  sem fasca;Lista de componentes eltricos mestre;Substitudos/reposicionados ambos os sensores de nvel de combustvel, substitudo conjunto de bomba de combustvel/unidade de envio;492;Transmissão;Média;1 dia
Audi;Jetta;2010;Luz do motor acesa;Tubo de escape com vazamento  sensor de oxignio com defeito.;Substitudos/reposicionados ambos os sensores de nvel de combustvel, substitudo conjunto de bomba de combustvel/unidade de envio;885;Suspensão;Crítica;4 horas
Infiniti;XJ 3.0;2010;Transmisso com falha;Fluido de transmisso automtica  Bobina(s) de ignio  Vela(s) de ignio  Pistes do balancim de controle de elevao de tempo varivel (VTEC)  Molas do balancim de controle de elevao de tempo varivel (VTEC);Limpeza do radiador;1488;Direção;Média;1 dia
Audi;Sedona;2010;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;Sistema de admisso de ar restrito  Sistema de exausto restrito  Turbocompressor com falha;Troca da bateria;470;Sistema de Arrefecimento;Média;1 dia
Mercedes;RLX;2010;Freios falhando;Falha na operao de carga parcial da vlvula de ventilao do crter.;Reparo na transmisso;1139;Direção;Média;1 dia
Hyundai;ES350;2018;Motor superaquecendo;Compressor de ar defeituoso;Troca dos amortecedores;305;Direção;Média;1 dia
Volvo;A3 Quattro;2016;O motor est funcionando com pouca potncia.;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;Procedimento de aprendizagem do volume de ar em marcha lenta realizado/substitudo  Corpo do acelerador substitudo/limpo  Procedimento de aprendizagem da posio de liberao do pedal do acelerador realizado e Procedimento de aprendizagem do volume de ar em marcha lenta realizado;1212;Sistema de Arrefecimento;Média;4 horas
Nissan;Altima;2016;Baixo consumo de energia;Radiador entupido;Troca da bateria;1073;Motor;Crítica;3 dias
Audi;XC60;2017;Superaquecimento do motor;O monitor Evap não funciona após o módulo de controle do motor (ECM) DTC P0442 O solenóide de ventilação é atualizado;Troca das pastilhas de freio;1843;Freios;Média;1 dia
Volvo;XJ 3.0;2010;Cdigo de advertncia P2096.;Passagens de lquido de arrefecimento obstrudas  Termostato de lquido de arrefecimento com defeito  Lquido de arrefecimento do motor contaminado  Ncleo do aquecedor obstrudo  Bomba de gua com defeito;Troca dos amortecedores;1421;Suspensão;Média;1 dia
Chevrolet;Santa Fe;2015;Luz do motor acesa;Bobina de ignio com falha;Procedimento de reinicializao do lembrete de manuteno realizada/redefinida;2222;Suspensão;Crítica;2 dias
Mitsubishi;Silverado;2019;O motor est funcionando com pouca potncia.;Alternador  Alternador/Regulador de voltagem interno com defeito  Fiao do alternador  Caixa de fusveis auxiliares da bateria;Vlvula de controle de tempo de vlvula de escape substituda  leo/filtro do motor substitudo;687;Elétrico;Média;4 horas
Chrysler;Camry;2019;Motor superaquecendo;Alternador  Alternador/Regulador de voltagem interno com defeito  Fiao do alternador  Caixa de fusveis auxiliares da bateria;Vlvula de ventilao do crter de operao de carga parcial substituda  Vlvula de controle de ventilao do crter reparada/substituda  Tampa da vlvula substituda/resselada  Sistema de ventilao positiva do crter (PCV) reparado/substitudo.;305;Freios;Crítica;2 dias
Ford;Silverado;2012;Luz de advertncia de lembrete de manuteno/Procedimento de reinicializao.;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;Conjunto do monitor de integridade do sistema evaporativo (ESIM) substitudo/reparado/conectado  Tampa do bocal de abastecimento de combustvel substituda/apertada/reparada;1080;Sistema de Arrefecimento;Média;1 dia
Volkswagen;Eclipse;2017;Cdigo de advertncia de falha de ignio do motor P0352;Amortecedores desgastados;Compressor de ar condicionado (A/C) substitudo ou sensor de fluxo do compressor de ar condicionado (A/C) substitudo;333;Suspensão;Média;4 horas
GMC;Santa Fe;2012;Transmisso com reduo de marcha intermitente em velocidades de rodovia;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;Troca dos amortecedores;517;Sistema de Escape;Crítica;4 horas
Hyundai;F-150;2015;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;Roda dentada do eixo de comando de escape  Vlvula solenide de controle de temporizao da vlvula de escape  Corrente de distribuio;Conjunto do monitor de integridade do sistema evaporativo (ESIM) substitudo/reparado/conectado  Tampa do bocal de abastecimento de combustvel substituda/apertada/reparada;1170;Direção;Alta;1 dia
Volkswagen;Jetta;2020;Luz de verificao do motor em marcha lenta alta;Sensores de nvel de combustvel;Troca da bateria;2338;Sistema de Arrefecimento;Média;1 semana
Buick;Wrangler;2018;Transmisso com reduo de marcha intermitente em velocidades de rodovia;Fluido de transmisso automtica  Bobina(s) de ignio  Vela(s) de ignio  Pistes do balancim de controle de elevao de tempo varivel (VTEC)  Molas do balancim de controle de elevao de tempo varivel (VTEC);Conjunto de mdulo de controle do ventilador de resfriamento/ventilador substitudo  Conector do mdulo de controle do ventilador de resfriamento reparado/substitudo;1589;Transmissão;Crítica;1 dia
Volkswagen;ES350;2016;Luz de verificao do motor em marcha lenta alta;Motor do atuador da porta de mistura  Eixo da porta de mistura  Fluxo do lquido de arrefecimento  Termostato do lquido de arrefecimento do motor  Ncleo do aquecedor  Cabea de controle do ar condicionado de ventilao do aquecedor (HVAC);Ncleo do aquecedor substitudo/limpo/consertado/sangrado  Procedimento de lavagem do sistema de arrefecimento;1589;Elétrico;Média;2 dias
Mazda;Eclipse;2018;Luz de advertncia de lembrete de manuteno/Procedimento de reinicializao.;Lista de componentes eltricos mestre;Compressor de ar condicionado (A/C) substitudo ou sensor de fluxo do compressor de ar condicionado (A/C) substitudo;687;Suspensão;Crítica;2 dias
Volvo;Camry;2021; necessrio redefinir o ciclo de conduo do monitor DTC;Circuito do ventilador com defeito impedindo que o ventilador esfrie o motor;Substituio do solenide/vlvula de ventilao do canister de emisses evaporativas (EVAP)  Substituio da vlvula de controle de purga do canister  Substituio da bomba de combustvel;333;Freios;Média;1 dia
Chevrolet;X3;2016;Direo pesada;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;Limpeza do radiador;1086;Transmissão;Média;1 dia
Kia;Santa Fe;2012;Baixo consumo de energia;Alternador  Alternador/Regulador de voltagem interno com defeito  Fiao do alternador  Caixa de fusveis auxiliares da bateria;Unidade de estgio final de controle do soprador substituda/reparada  bateria substituda/recarregada/programada;413;Sistema de Escape;Média;1 dia
GMC;XJ 3.0;2020;Cdigo de advertncia P2096.;Compressor de ar condicionado (A/C);Alternador substitudo/reparado  Fiao do alternador reparada/substituda/trocada  Caixa de fusveis auxiliar da bateria substituda/reparada/apertada;1080;Elétrico;Média;3 dias
Jeep;Elantra;2020;Código de advertência de falha de ignição do motor P0352;Sensor de posio do eixo de comando  Sensor de posio do virabrequim;Compressor de ar condicionado (A/C) substituído ou sensor de fluxo do compressor de ar condicionado (A/C) substituído;630;Freios;Crítica;4 horas
Nissan;Outback;2019;Sem manivela  No inicia;Mdulo de controle de transmisso (TCM) e/ou chicote eltrico;Substituição do solenóide/válvula de ventilação do canister de emissões evaporativas (EVAP)  Substituição da válvula de controle de purga do canister  Substituição da bomba de combustível;1421;Direção;Crítica;4 horas
Jeep;Altima;2015;Ar condicionado no resfria;Falha na operao de carga parcial da vlvula de ventilao do crter.;Bobina(s) de ignio substituda(s)/reparada(s)  Bobina(s) de ignio substituda(s) e vela(s) de ignio substituda(s)/reaprendida(s);1162;Transmissão;Média;2 dias
Buick;X3;2015;Marcha lenta irregular  falha de ignio do motor. Cdigo de advertncia P0014;Procedimento de reinicializao do lembrete de manuteno somente para informaes;Conjunto de mdulo de controle do ventilador de resfriamento/ventilador substitudo  Conector do mdulo de controle do ventilador de resfriamento reparado/substitudo;1351;Motor;Média;4 horas
Mercedes;Jetta;2020;Cdigo de advertncia P2096.;Sistema de admisso de ar restrito  Sistema de exausto restrito  Turbocompressor com falha;Vlvula de controle de tempo de vlvula de escape substituda  leo/filtro do motor substitudo;1880;Transmissão;Média;1 semana
Acura;Sierra;2016;Falha no sistema de airbags;A velocidade do motor excedeu 200 RPM acima da velocidade de marcha lenta desejada;Troca da bateria;441;Transmissão;Média;4 horas
GMC;Encore;2010;Sem energia, bateria descarregada;Compressor de ar defeituoso;Ncleo do aquecedor substitudo/limpo/consertado/sangrado  Procedimento de lavagem do sistema de arrefecimento;463;Elétrico;Média;1 dia
Mazda;Jetta;2010;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;Motor do atuador da porta de mistura  Eixo da porta de mistura  Fluxo do lquido de arrefecimento  Termostato do lquido de arrefecimento do motor  Ncleo do aquecedor  Cabea de controle do ar condicionado de ventilao do aquecedor (HVAC);Alternador substitudo/reparado  Fiao do alternador reparada/substituda/trocada  Caixa de fusveis auxiliar da bateria substituda/reparada/apertada;1911;Direção;Média;3 dias
Volkswagen;Wrangler;2021;Indicador de nvel de combustvel irregular, medidor de combustvel no funciona;Problema conhecido com o mdulo de controle do ventilador, que  incorporado no prprio ventilador auxiliar do radiador/condensador, causando um consumo de corrente. Alm disso, o controlador de velocidade do soprador para o aquecedor e o ventilador do A/C pode causar um consumo de corrente anormal.;Compressor de ar condicionado (A/C) substituído ou sensor de fluxo do compressor de ar condicionado (A/C) substituído;2187;Freios;Média;1 dia
Honda;Escalade;2021;Luz do motor acesa;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;Conjunto de mdulo de controle do ventilador de resfriamento/ventilador substitudo  Conector do mdulo de controle do ventilador de resfriamento reparado/substitudo;328;Direção;Crítica;4 horas
Chevrolet;Cruze;2012;Indicador de nvel de combustvel irregular, medidor de combustvel no funciona;Roda dentada do eixo de comando de escape  Vlvula solenide de controle de temporizao da vlvula de escape  Corrente de distribuio;Procedimento de reinicializao do lembrete de manuteno realizada/redefinida;1212;Direção;Crítica;1 dia
BMW;Altima;2018;Ar condicionado no est gelando;A velocidade do motor excedeu 200 RPM acima da velocidade de marcha lenta desejada;Alternador substitudo/reparado  Fiao do alternador reparada/substituda/trocada  Caixa de fusveis auxiliar da bateria substituda/reparada/apertada;1382;Sistema de Escape;Crítica;1 dia
Cadillac;Wrangler;2016;Bateria descarregada;Alternador  Alternador/Regulador de voltagem interno com defeito  Fiao do alternador  Caixa de fusveis auxiliares da bateria;Troca das pastilhas de freio;1762;Motor;Média;2 dias
Volvo;Santa Fe;2012;Luz de advertncia de lembrete de manuteno/Procedimento de reinicializao.;Motor do atuador da porta de mistura  Eixo da porta de mistura  Fluxo do lquido de arrefecimento  Termostato do lquido de arrefecimento do motor  Ncleo do aquecedor  Cabea de controle do ar condicionado de ventilao do aquecedor (HVAC);Troca dos amortecedores;517;Direção;Média;1 dia
Volkswagen;Sedona;2020;Transmisso com falha;Desgaste nas pastilhas de freio;Ncleo do aquecedor substitudo/limpo/consertado/sangrado  Procedimento de lavagem do sistema de arrefecimento;1488;Sistema de Escape;Crítica;3 dias
